"","year","period","periodName","value","footnotes","seriesID"
"1",2008,"M12","December",13.6,"","LNS13327709"
"2",2008,"M11","November",12.7,"","LNS13327709"
"3",2008,"M10","October",11.8,"","LNS13327709"
"4",2008,"M09","September",11.1,"","LNS13327709"
"5",2008,"M08","August",10.8,"","LNS13327709"
"6",2008,"M07","July",10.5,"","LNS13327709"
"7",2008,"M06","June",10,"","LNS13327709"
"8",2008,"M05","May",9.7,"","LNS13327709"
"9",2008,"M04","April",9.2,"","LNS13327709"
"10",2008,"M03","March",9.1,"","LNS13327709"
"11",2008,"M02","February",9,"","LNS13327709"
"12",2008,"M01","January",9.1,"","LNS13327709"
"13",2007,"M12","December",8.8,"","LNS13327709"
"14",2007,"M11","November",8.5,"","LNS13327709"
"15",2007,"M10","October",8.4,"","LNS13327709"
"16",2007,"M09","September",8.4,"","LNS13327709"
"17",2007,"M08","August",8.4,"","LNS13327709"
"18",2007,"M07","July",8.4,"","LNS13327709"
"19",2007,"M06","June",8.3,"","LNS13327709"
"20",2007,"M05","May",8.2,"","LNS13327709"
"21",2007,"M04","April",8.2,"","LNS13327709"
"22",2007,"M03","March",8,"","LNS13327709"
"23",2007,"M02","February",8.1,"","LNS13327709"
"24",2007,"M01","January",8.3,"","LNS13327709"
"25",2006,"M12","December",7.9,"","LNS13327709"
"26",2006,"M11","November",8.1,"","LNS13327709"
"27",2006,"M10","October",8.2,"","LNS13327709"
"28",2006,"M09","September",8,"","LNS13327709"
"29",2006,"M08","August",8.4,"","LNS13327709"
"30",2006,"M07","July",8.5,"","LNS13327709"
"31",2006,"M06","June",8.4,"","LNS13327709"
"32",2006,"M05","May",8.2,"","LNS13327709"
"33",2006,"M04","April",8.1,"","LNS13327709"
"34",2006,"M03","March",8.2,"","LNS13327709"
"35",2006,"M02","February",8.4,"","LNS13327709"
"36",2006,"M01","January",8.4,"","LNS13327709"
"37",2005,"M12","December",8.6,"","LNS13327709"
"38",2005,"M11","November",8.7,"","LNS13327709"
"39",2005,"M10","October",8.7,"","LNS13327709"
"40",2005,"M09","September",9,"","LNS13327709"
"41",2005,"M08","August",8.9,"","LNS13327709"
"42",2005,"M07","July",8.8,"","LNS13327709"
"43",2005,"M06","June",9,"","LNS13327709"
"44",2005,"M05","May",8.9,"","LNS13327709"
"45",2005,"M04","April",9,"","LNS13327709"
"46",2005,"M03","March",9.1,"","LNS13327709"
"47",2005,"M02","February",9.2,"","LNS13327709"
"48",2005,"M01","January",9.2,"","LNS13327709"
"49",2004,"M12","December",9.3,"","LNS13327709"
"50",2004,"M11","November",9.4,"","LNS13327709"
"51",2004,"M10","October",9.7,"","LNS13327709"
"52",2004,"M09","September",9.4,"","LNS13327709"
"53",2004,"M08","August",9.4,"","LNS13327709"
"54",2004,"M07","July",9.5,"","LNS13327709"
"55",2004,"M06","June",9.6,"","LNS13327709"
"56",2004,"M05","May",9.7,"","LNS13327709"
"57",2004,"M04","April",9.6,"","LNS13327709"
"58",2004,"M03","March",10,"","LNS13327709"
"59",2004,"M02","February",9.7,"","LNS13327709"
"60",2004,"M01","January",9.8,"","LNS13327709"
"61",2003,"M12","December",9.8,"","LNS13327709"
"62",2003,"M11","November",10.1,"","LNS13327709"
"63",2003,"M10","October",10.2,"","LNS13327709"
"64",2003,"M09","September",10.4,"","LNS13327709"
"65",2003,"M08","August",10.1,"","LNS13327709"
"66",2003,"M07","July",10.3,"","LNS13327709"
"67",2003,"M06","June",10.3,"","LNS13327709"
"68",2003,"M05","May",10.1,"","LNS13327709"
"69",2003,"M04","April",10.2,"","LNS13327709"
"70",2003,"M03","March",10,"","LNS13327709"
"71",2003,"M02","February",10.1,"","LNS13327709"
"72",2003,"M01","January",9.9,"","LNS13327709"
"73",2002,"M12","December",9.8,"","LNS13327709"
"74",2002,"M11","November",9.8,"","LNS13327709"
"75",2002,"M10","October",9.6,"","LNS13327709"
"76",2002,"M09","September",9.6,"","LNS13327709"
"77",2002,"M08","August",9.6,"","LNS13327709"
"78",2002,"M07","July",9.6,"","LNS13327709"
"79",2002,"M06","June",9.5,"","LNS13327709"
"80",2002,"M05","May",9.6,"","LNS13327709"
"81",2002,"M04","April",9.7,"","LNS13327709"
"82",2002,"M03","March",9.4,"","LNS13327709"
"83",2002,"M02","February",9.5,"","LNS13327709"
"84",2002,"M01","January",9.4,"","LNS13327709"
"85",2001,"M12","December",9.6,"","LNS13327709"
"86",2001,"M11","November",9.4,"","LNS13327709"
"87",2001,"M10","October",9.3,"","LNS13327709"
"88",2001,"M09","September",8.7,"","LNS13327709"
"89",2001,"M08","August",8.2,"","LNS13327709"
"90",2001,"M07","July",7.9,"","LNS13327709"
"91",2001,"M06","June",7.9,"","LNS13327709"
"92",2001,"M05","May",7.5,"","LNS13327709"
"93",2001,"M04","April",7.4,"","LNS13327709"
"94",2001,"M03","March",7.3,"","LNS13327709"
"95",2001,"M02","February",7.3,"","LNS13327709"
"96",2001,"M01","January",7.3,"","LNS13327709"
"97",2008,"M12","December",7.3,"","LNS14000000"
"98",2008,"M11","November",6.8,"","LNS14000000"
"99",2008,"M10","October",6.5,"","LNS14000000"
"100",2008,"M09","September",6.1,"","LNS14000000"
"101",2008,"M08","August",6.1,"","LNS14000000"
"102",2008,"M07","July",5.8,"","LNS14000000"
"103",2008,"M06","June",5.6,"","LNS14000000"
"104",2008,"M05","May",5.4,"","LNS14000000"
"105",2008,"M04","April",5,"","LNS14000000"
"106",2008,"M03","March",5.1,"","LNS14000000"
"107",2008,"M02","February",4.9,"","LNS14000000"
"108",2008,"M01","January",5,"","LNS14000000"
"109",2007,"M12","December",5,"","LNS14000000"
"110",2007,"M11","November",4.7,"","LNS14000000"
"111",2007,"M10","October",4.7,"","LNS14000000"
"112",2007,"M09","September",4.7,"","LNS14000000"
"113",2007,"M08","August",4.6,"","LNS14000000"
"114",2007,"M07","July",4.7,"","LNS14000000"
